HPfr15.txt-0091	palpitant            	Il y eut alors un autre bruit de galop et Ronan et Bane surgirent des arbres, les flancs palpitants, couverts de sueur.
HPfr15.txt-0092	vulgaire             	Tu te prends pour une vulgaire mule ?
HPfr15.txt-0093	mule                 	Tu te prends pour une vulgaire mule ?
HPfr15.txt-0094	serment              	Souviens-toi, Firenze, nous avons fait serment de ne pas nous opposer aux décisions du ciel.
HPfr15.txt-0095	décret               	Les centaures se soumettent aux décrets du destin.
HPfr15.txt-0096	égarer               	Nous n’avons pas à nous promener comme des ânes pour aller chercher les humains égarés dans la forêt !
HPfr15.txt-0097	dévoiler             	Les planètes ne t’ont pas dévoilé ce secret ?
HPfr15.txt-0098	crime                	Pour commettre un tel crime il faut n’avoir rien à perdre et tout à gagner.
HPfr15.txt-0099	buffle               	Hagrid essayait de la suivre en soufflant comme un buffle.
HPfr15.txt-0100	machinalement        	Ça va très bien, répondit machinalement Harry.
HPfr15.txt-0101	défaire              	Lorsqu’il défit son lit, Harry découvrit la cape d’invisibilité soigneusement pliée entre les draps.
